Token Name,Contract Address,Creator ,Number of Tokens Minted,token_bougth_start,quantity_adjusted_start,average_adjusted_start,tokens_start,tokens_bought_2_weeks,quantity_adjusted_2,average_adjusted_2,tokens_bought_month,quantity_adjusted_month,average_adjusted_month,Access & Utility,Interactive Experience ,Notes,Website,Art,Discord Channel
Vee Friends,0xa3AEe8BcE55BEeA1951EF834b99f3Ac60d1ABeeB,0xd6a984153acb6c9e2d788f08c2465a1358bb89a7,10255,5/13/21,6347.499606,2115.833202,3,128,733973.3777,5535.446117,512,6024989.507,9651.894443,1,0,1.) Token Drops and conference 2.) No interaction ,https://veefriends.com/,0,1
Creature World ,0xc92cedDfb8dd984A89fb494c376f9A48b999aAFc,0x9d6deb1ae595884b27d6438c65ff96e9177fb64f,10000,8/28/21,2656693.552,1593.697392,1667,13972,46866871.43,3701.088774,16284,58528660.5,4168.961181,0,0,1.) No access 2.) No interaction ,www.creature.world,1,1
Axie Infinity ,0xF5b0A3eFB8e8E4c201e2A935F110eAaF3FFEcb8d,0x01bf1d7c5e192313c26414e134584275f46271cf,N/A,3/25/18,1981.79812,198.179812,10,138,24926.6677,180.0082749,222,51891.73954,275.4366057,0,1,1.) No access 2.) Interactive game ,https://axieinfinity.com/,0,1
MyCryptoHeroes,0x77BD275fF2B3Dc007475aAC9Ce7F408F5A800188,0xe7af11370c3bab51230d8307454350bdf6d68f4a,N/A,9/23/18,100.2231097,50.11155484,2,56,8756.06778,85.73588958,237,12821.6407,75.16420178,0,1,1.) No access 2.) Interactive game ,https://www.mycryptoheroes.net/,0,1
Doodles ,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,0x2b3ab8e7bb14988616359b78709538b10900ab7d,10000,10/17/21,4061130.976,4840.442164,839,9327,56056871.61,6600.872019,11750,75833441.23,7007.84124,1,0,1.) Able to participate in doodles treasury ,https://doodles.app/,1,1
LOSTPOETS,0x4b3406a41399c7FD2BA65cbC93697Ad9E7eA61e5,0x2ce780d7c743a57791b835a9d6f998b15bbba5a4,15184,9/3/21,2050207.446,1634.934168,1254,9920,16436827.66,1626.578564,21023,57597024.28,2547.026322,0,1,1.) No access 2.) Confusing game ,https://lostpoets.xyz/,1,0
World of Women,0x2953399124F0cBB46d2CbACD8A89cF0599974963,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,10000,7/27/21,10875.07465,231.384567,47,10243,16893965.45,2059.150887,13027,31255258.08,3401.935935,1,0,1.) Access to royalties and merch 2.) No interaction,https://worldofwomen.art/,1,1
The Doge Pound ,0xF4ee95274741437636e748DdAc70818B4ED7d043,0x9ad80abc02ba459d7a7e252b3d173f471daa1012,10000,7/13/21,1336.830526,121.5300478,11,3674,2618225.097,674.0707665,7454,13653198.94,1923.810869,1,0,1.) Access to community and merch 2.) No interaction ,https://thedogepoundnft.com/,1,1
Bored Ape Chemistry Club ,0x22c36BfdCef207F9c0CC941936eff94D4246d14A,0x9056d15c49b19df52ffad1e6c11627f035c0c960,10000,8/28/21,4482614.567,35296.1777,127,1847,60821453.19,28341.66348,2087,64989106.95,22926.05911,0,0,,,1,0
Ringers by Dmitri Cherniak ,0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270,0x96dc73c8b5969608c77375f085949744b5177660,1000,1/31/21,50453.49709,710.6126351,71,260,426928.1171,1779.601703,386,1571792.946,5635.071378,0,0,Art,https://www.artblocks.io/project/13,1,0
